TrainNumber,RailwayOperator,OriginStation,DestinationStation,DepartureTime,ArrivalTime,Duration,Status,TicketPrice,TrainType,PlatformNumber,Terminal,SeatCapacity,PassengerCount,WeatherCondition,CrewCount
TR1337,Via Rail,Vancouver Pacific,Montreal Central,2023-11-16 17:10:00,2023-11-17 05:10:00,12:00:00,Delayed,359.18,Passenger,P14,B,407,27,Storm,20
TR1338,Indian Railways,Howrah,Delhi Junction,2023-09-26 16:59:00,2023-09-27 03:59:00,11:00:00,Cancelled,267.17,Freight,P15,B,423,290,Clear,10
TR1339,Indian Railways,Howrah,Mumbai CST,2023-10-26 02:56:00,2023-10-26 14:56:00,12:00:00,On Time,35.16,Freight,P20,E,143,279,Fog,5
TR1340,Via Rail,Ottawa Station,Montreal Central,2023-12-29 03:25:00,2023-12-29 06:25:00,3:00:00,Delayed,46.32,High-Speed,P11,D,102,209,Clear,3
TR1341,JR Central,Kyoto Station,Osaka Station,2023-10-10 05:38:00,2023-10-10 09:38:00,4:00:00,Cancelled,184.64,Intercity,P4,B,209,377,Rain,10
TR1342,Indian Railways,Mumbai CST,Chennai Central,2023-02-12 21:42:00,2023-02-13 07:42:00,10:00:00,On Time,39.08,Intercity,P2,A,190,410,Fog,19
TR1343,Amtrak,Boston South,San Francisco 4th,2023-10-03 20:12:00,2023-10-04 00:12:00,4:00:00,On Time,100.52,Intercity,P18,A,253,207,Fog,19
TR1344,JR Central,Tokyo Station,Hiroshima Station,2023-03-24 23:12:00,2023-03-25 07:12:00,8:00:00,Delayed,296.71,Freight,P4,C,289,143,Storm,3
TR1345,Amtrak,Chicago Union,New York Penn,2023-03-29 06:55:00,2023-03-29 18:55:00,12:00:00,Cancelled,69.56,Freight,P2,B,431,262,Rain,6
TR1346,Indian Railways,Mumbai CST,Howrah,2023-09-13 23:18:00,2023-09-14 00:18:00,1:00:00,Delayed,161.1,Passenger,P6,A,381,425,Snow,7
TR1347,Via Rail,Calgary Station,Ottawa Station,2023-08-19 17:00:00,2023-08-20 02:00:00,9:00:00,Cancelled,66.46,Metro,P16,B,274,507,Storm,20
TR1348,Amtrak,Chicago Union,Boston South,2023-04-05 23:54:00,2023-04-06 10:54:00,11:00:00,Cancelled,28.98,Intercity,P12,A,178,54,Snow,7
TR1349,Via Rail,Ottawa Station,Calgary Station,2023-02-14 16:54:00,2023-02-15 00:54:00,8:00:00,On Time,140.37,Intercity,P19,C,91,89,Fog,12
TR1350,Indian Railways,Mumbai CST,Howrah,invalid_date,2023-12-17 23:29:00,8:00:00,Delayed,63.15,High-Speed,P3,C,295,75,Storm,6
TR1351,JR East,Hiroshima Station,Tokyo Station,2023-10-11 05:21:00,2023-10-11 06:21:00,1:00:00,Delayed,398.22,High-Speed,P6,D,56,138,Snow,5
TR1352,Indian Railways,Howrah,Chennai Central,2023-03-27 13:57:00,2023-03-27 20:57:00,7:00:00,On Time,246.63,Freight,P20,D,492,258,Rain,5
TR1353,Indian Railways,Mumbai CST,Delhi Junction,2023-01-05 20:46:00,2023-01-06 05:46:00,9:00:00,Cancelled,16.37,Freight,P11,E,290,22,Storm,3
TR1354,JR East,Nagoya Station,Kyoto Station,2023-10-01 03:38:00,2023-10-01 14:38:00,11:00:00,Delayed,211.02,Intercity,P11,D,122,114,Storm,7
TR1355,Via Rail,Montreal Central,Toronto Union,2023-09-19 23:36:00,2023-09-20 02:36:00,3:00:00,Delayed,71.32,Freight,P12,B,58,489,Snow,6
TR1356,Indian Railways,Mumbai CST,Delhi Junction,2023-03-18 15:34:00,2023-03-19 00:34:00,9:00:00,Delayed,92.64,High-Speed,P9,B,498,442,Clear,6
TR1357,Amtrak,New York Penn,Los Angeles Union,2023-10-11 13:16:00,2023-10-12 01:16:00,12:00:00,Cancelled,223.24,Intercity,P14,C,348,170,Clear,17
TR1358,Amtrak,New York Penn,Los Angeles Union,2023-01-13 16:00:00,2023-01-14 03:00:00,11:00:00,Cancelled,32.2,Metro,P13,D,60,307,Rain,11
TR1359,Via Rail,Vancouver Pacific,Toronto Union,2023-03-28 00:02:00,2023-03-28 10:02:00,10:00:00,On Time,258.27,Intercity,P5,A,445,413,Storm,17
TR1360,Amtrak,New York Penn,Chicago Union,2023-03-16 17:56:00,2023-03-16 18:56:00,1:00:00,Cancelled,443.88,Metro,P1,B,279,65,Snow,4
TR1361,JR Central,Kyoto Station,Nagoya Station,2023-11-25 14:14:00,2023-11-25 17:14:00,3:00:00,On Time,407.54,Passenger,P8,D,268,213,Clear,8
TR1362,Amtrak,New York Penn,Chicago Union,2023-03-05 01:54:00,2023-03-05 10:54:00,9:00:00,Cancelled,245.05,Intercity,P20,D,191,549,Fog,2
TR1363,JR East,Hiroshima Station,Nagoya Station,2023-07-25 09:47:00,2023-07-25 11:47:00,2:00:00,Delayed,461.03,Freight,P3,A,134,184,Snow,16
TR1364,Via Rail,Ottawa Station,Montreal Central,2023-05-01 19:41:00,2023-05-02 00:41:00,5:00:00,Delayed,324.29,Intercity,P10,A,431,518,Rain,13
TR1365,Via Rail,Calgary Station,Toronto Union,2023-02-18 12:36:00,2023-02-18 22:36:00,10:00:00,Delayed,189.65,Metro,P15,A,235,289,Clear,14
TR1366,JR East,Nagoya Station,Hiroshima Station,2023-07-12 11:18:00,2023-07-12 17:18:00,6:00:00,Cancelled,33.71,Metro,P10,E,284,139,Storm,11
TR1367,Via Rail,Montreal Central,Calgary Station,2023-01-14 16:29:00,2023-01-15 04:29:00,12:00:00,Cancelled,491.8,Passenger,P16,A,207,143,Clear,5
TR1368,Deutsche Bahn,Berlin Hbf,Munich Hbf,2023-10-22 06:19:00,2023-10-22 13:19:00,7:00:00,Cancelled,213.05,High-Speed,P5,A,259,541,Clear,14
TR1369,Amtrak,Los Angeles Union,Chicago Union,2023-01-28 04:15:00,2023-01-28 06:15:00,2:00:00,Delayed,66.23,Passenger,P13,D,275,226,Snow,18
TR1370,Deutsche Bahn,Hamburg Hbf,Berlin Hbf,2023-03-05 20:58:00,2023-03-05 23:58:00,3:00:00,Cancelled,270.18,Intercity,P11,D,463,456,Storm,19
TR1371,JR Central,Nagoya Station,Osaka Station,2023-12-03 17:44:00,2023-12-04 05:44:00,12:00:00,Cancelled,39.81,Metro,P17,D,73,422,Storm,5
TR1372,Amtrak,New York Penn,Chicago Union,2023-08-14 11:36:00,2023-08-14 15:36:00,4:00:00,Cancelled,85.58,Passenger,P16,D,446,173,Fog,11
TR1373,Indian Railways,Mumbai CST,Delhi Junction,2023-01-21 09:57:00,2023-01-21 20:57:00,11:00:00,On Time,339.91,High-Speed,P9,C,178,43,Rain,20
TR1374,Via Rail,Toronto Union,Ottawa Station,2023-09-08 18:55:00,2023-09-08 22:55:00,4:00:00,Cancelled,135.55,Metro,P9,C,358,141,Storm,20
TR1375,Indian Railways,Bangalore City,Chennai Central,2023-12-31 04:26:00,2023-12-31 14:26:00,10:00:00,Cancelled,280.5,Passenger,P10,B,328,13,Snow,2
TR1376,Indian Railways,Chennai Central,Howrah,2023-11-11 13:33:00,2023-11-11 22:33:00,9:00:00,On Time,224.0,Freight,P11,A,444,60,Storm,10
TR1377,Indian Railways,Howrah,Delhi Junction,2023-12-10 21:39:00,2023-12-11 07:39:00,10:00:00,Cancelled,365.66,Freight,P8,E,445,442,Rain,4
TR1378,Amtrak,Chicago Union,Boston South,2023-09-27 10:11:00,2023-09-27 20:11:00,10:00:00,Delayed,361.03,High-Speed,P6,A,112,32,Storm,2
TR1379,Deutsche Bahn,Hamburg Hbf,Cologne Hbf,2023-03-31 05:10:00,2023-03-31 14:10:00,9:00:00,Cancelled,456.33,Passenger,P19,C,234,108,Rain,2
TR1380,Amtrak,Chicago Union,New York Penn,2023-07-25 00:22:00,2023-07-25 07:22:00,7:00:00,On Time,222.6,Freight,P15,E,492,208,Fog,19
TR1381,JR East,Kyoto Station,Osaka Station,2023-07-01 00:58:00,2023-07-01 03:58:00,3:00:00,Cancelled,223.13,Passenger,P15,E,217,404,Snow,6
TR1382,Deutsche Bahn,Berlin Hbf,Munich Hbf,2023-09-18 04:08:00,2023-09-18 12:08:00,8:00:00,Delayed,355.7,Passenger,P12,D,316,112,Rain,10
TR1383,Deutsche Bahn,Hamburg Hbf,Munich Hbf,2023-08-17 16:25:00,2023-08-18 04:25:00,12:00:00,Cancelled,481.6,High-Speed,P19,B,255,266,Rain,12
TR1384,Via Rail,Ottawa Station,Calgary Station,2023-01-22 14:20:00,2023-01-22 19:20:00,5:00:00,Cancelled,337.93,Intercity,P16,D,494,420,Storm,15
TR1385,Indian Railways,Bangalore City,Chennai Central,2023-12-02 07:21:00,2023-12-02 17:21:00,10:00:00,Cancelled,202.58,Freight,P16,C,355,241,Fog,20
TR1386,Via Rail,Vancouver Pacific,Toronto Union,2023-08-26 08:30:00,2023-08-26 10:30:00,2:00:00,Delayed,406.17,High-Speed,P7,E,366,461,Snow,13
TR1387,Indian Railways,Chennai Central,Delhi Junction,2023-08-17 00:52:00,2023-08-17 01:52:00,1:00:00,On Time,252.58,Passenger,P17,A,368,321,Rain,4
TR1388,Indian Railways,Mumbai CST,Howrah,2023-06-11 17:16:00,2023-06-12 02:16:00,9:00:00,Cancelled,49.83,Metro,P14,D,316,229,Storm,7
TR1389,Amtrak,New York Penn,San Francisco 4th,2023-08-15 11:14:00,2023-08-15 21:14:00,10:00:00,Cancelled,480.5,Metro,P5,D,451,149,Snow,10
TR1390,Amtrak,San Francisco 4th,Los Angeles Union,2023-12-09 06:28:00,2023-12-09 10:28:00,4:00:00,On Time,310.27,Metro,P8,A,129,220,Fog,10
TR1391,JR East,Osaka Station,Nagoya Station,2023-10-04 06:03:00,2023-10-04 13:03:00,7:00:00,Delayed,138.09,Metro,P7,D,343,494,Clear,2
TR1392,Amtrak,San Francisco 4th,Chicago Union,2023-04-10 07:14:00,2023-04-10 16:14:00,9:00:00,Delayed,466.2,Passenger,P9,D,373,418,Snow,8
TR1393,Indian Railways,Mumbai CST,Howrah,2023-03-24 04:51:00,2023-03-24 13:51:00,9:00:00,Cancelled,268.26,High-Speed,P4,D,65,435,Fog,10
TR1394,Amtrak,New York Penn,Chicago Union,2023-10-29 00:00:00,2023-10-29 04:00:00,4:00:00,Cancelled,106.79,Intercity,P8,C,466,269,Snow,15
TR1395,Amtrak,Chicago Union,Los Angeles Union,2023-10-08 13:27:00,2023-10-09 01:27:00,12:00:00,Cancelled,434.77,Intercity,P12,C,65,312,Rain,19
TR1396,Deutsche Bahn,Hamburg Hbf,Cologne Hbf,2023-11-10 06:13:00,2023-11-10 09:13:00,3:00:00,Cancelled,209.16,High-Speed,P1,E,229,458,Clear,12
TR1397,Indian Railways,Howrah,Bangalore City,2023-08-30 21:42:00,2023-08-31 05:42:00,8:00:00,Delayed,364.93,Intercity,P3,D,70,546,Clear,2
TR1398,Deutsche Bahn,Frankfurt Hbf,Munich Hbf,2023-03-14 00:23:00,2023-03-14 11:23:00,11:00:00,Delayed,138.07,Passenger,P20,B,445,470,Rain,9
TR1399,Amtrak,San Francisco 4th,New York Penn,2023-08-24 15:06:00,,2:00:00,Cancelled,354.73,High-Speed,P12,E,477,488,Snow,7
TR1400,Amtrak,San Francisco 4th,Los Angeles Union,2023-02-06 16:21:00,2023-02-06 22:21:00,6:00:00,On Time,102.91,High-Speed,P7,B,259,416,Clear,16
TR1401,Indian Railways,Mumbai CST,Howrah,2023-04-11 07:41:00,2023-04-11 10:41:00,3:00:00,On Time,181.48,Freight,P12,B,105,82,Clear,12
TR1402,Via Rail,Montreal Central,Vancouver Pacific,2023-04-26 14:40:00,2023-04-26 23:40:00,9:00:00,Cancelled,462.51,Intercity,P2,E,294,402,Storm,5
TR1403,Amtrak,Boston South,Chicago Union,2023-10-13 23:21:00,2023-10-14 11:21:00,12:00:00,Cancelled,254.88,High-Speed,P9,D,369,81,Snow,10
TR1404,Indian Railways,Bangalore City,Mumbai CST,2023-01-14 07:02:00,2023-01-14 17:02:00,10:00:00,Cancelled,240.44,High-Speed,P7,D,491,366,Clear,5
TR1405,JR Central,Nagoya Station,Tokyo Station,2023-01-16 01:32:00,2023-01-16 09:32:00,8:00:00,On Time,272.02,Freight,P6,B,58,525,Clear,7
TR1406,Indian Railways,Chennai Central,Bangalore City,2023-01-08 10:29:00,2023-01-08 16:29:00,6:00:00,Delayed,414.1,High-Speed,P19,E,299,83,Rain,18
TR1407,JR East,Nagoya Station,Hiroshima Station,2023-06-02 15:03:00,2023-06-03 00:03:00,9:00:00,On Time,143.49,Metro,P10,E,401,497,Rain,2
TR1408,JR Central,Kyoto Station,Tokyo Station,2023-09-20 14:34:00,2023-09-21 00:34:00,10:00:00,Delayed,14.49,Metro,P14,A,420,317,Clear,9
TR1409,JR East,Osaka Station,Hiroshima Station,2023-06-24 04:09:00,2023-06-24 10:09:00,6:00:00,Cancelled,41.79,Freight,P2,D,492,289,Fog,2
TR1410,Indian Railways,Mumbai CST,Chennai Central,2023-05-15 07:01:00,2023-05-15 15:01:00,8:00:00,Delayed,204.81,High-Speed,P7,E,365,54,Fog,3
TR1411,JR East,Nagoya Station,Osaka Station,2023-10-26 17:34:00,2023-10-27 01:34:00,8:00:00,Cancelled,254.4,High-Speed,P15,B,399,137,Snow,15
TR1412,Indian Railways,Chennai Central,Bangalore City,2023-03-02 05:24:00,2023-03-02 13:24:00,8:00:00,Cancelled,141.31,Freight,P6,A,225,244,Fog,14
TR1413,Deutsche Bahn,Frankfurt Hbf,Hamburg Hbf,2023-08-06 18:54:00,2023-08-07 00:54:00,6:00:00,On Time,79.88,Passenger,P1,D,307,153,Storm,19
TR1414,Indian Railways,Bangalore City,Chennai Central,2023-03-06 04:22:00,2023-03-06 07:22:00,3:00:00,On Time,378.84,Passenger,P17,D,406,361,Storm,2
TR1415,Via Rail,Toronto Union,Vancouver Pacific,2023-08-04 06:17:00,2023-08-04 10:17:00,4:00:00,Cancelled,469.98,Freight,P9,B,165,340,Rain,3
TR1416,Indian Railways,Chennai Central,Delhi Junction,2023-03-10 07:07:00,2023-03-10 16:07:00,9:00:00,Cancelled,388.28,Metro,P19,B,84,236,Clear,9
TR1417,Indian Railways,Chennai Central,Bangalore City,2023-10-29 11:31:00,2023-10-29 18:31:00,7:00:00,Cancelled,260.4,Metro,P17,B,364,290,Rain,3
TR1418,Via Rail,Vancouver Pacific,Ottawa Station,2023-07-28 07:12:00,2023-07-28 09:12:00,2:00:00,Cancelled,303.14,High-Speed,P1,B,410,130,Snow,3
TR1419,Deutsche Bahn,Frankfurt Hbf,Hamburg Hbf,2023-08-02 22:28:00,2023-08-03 08:28:00,10:00:00,Delayed,122.57,Metro,P1,C,166,325,Storm,11
TR1420,Deutsche Bahn,Cologne Hbf,Frankfurt Hbf,2023-01-06 00:41:00,2023-01-06 08:41:00,8:00:00,Cancelled,224.52,Metro,P17,A,314,450,Fog,8
TR1421,Deutsche Bahn,Frankfurt Hbf,Hamburg Hbf,2023-09-24 03:23:00,2023-09-24 10:23:00,7:00:00,Cancelled,416.45,Passenger,P20,D,378,172,Fog,19
TR1422,Via Rail,Montreal Central,,2023-03-31 12:35:00,2023-03-31 23:35:00,11:00:00,Cancelled,467.96,Intercity,P10,E,232,504,Clear,6
TR1423,Amtrak,San Francisco 4th,Chicago Union,2023-02-26 16:44:00,2023-02-27 00:44:00,8:00:00,On Time,284.22,Metro,P19,D,67,171,Rain,10
TR1424,Via Rail,Montreal Central,Vancouver Pacific,2023-08-16 02:56:00,2023-08-16 09:56:00,7:00:00,Cancelled,119.9,Metro,P7,B,351,293,Storm,11
TR1425,Amtrak,Boston South,Chicago Union,2023-12-10 02:22:00,2023-12-10 13:22:00,11:00:00,On Time,348.77,High-Speed,P13,D,245,432,Fog,4
TR1426,Amtrak,San Francisco 4th,New York Penn,2023-10-29 05:08:00,2023-10-29 13:08:00,8:00:00,Cancelled,192.71,High-Speed,P6,D,447,89,Storm,19
TR1427,JR Central,Nagoya Station,Osaka Station,2023-04-30 04:09:00,2023-04-30 08:09:00,4:00:00,On Time,23.44,Freight,P6,A,422,171,Clear,7
TR1428,Amtrak,San Francisco 4th,Boston South,2023-10-30 22:50:00,2023-10-31 05:50:00,7:00:00,Delayed,78.83,Metro,P13,E,51,283,Storm,18
TR1429,Amtrak,Los Angeles Union,New York Penn,2023-03-17 06:15:00,2023-03-17 17:15:00,11:00:00,On Time,418.82,Passenger,P9,A,478,317,Snow,17
TR1430,Indian Railways,Bangalore City,Chennai Central,2023-08-01 09:09:00,2023-08-01 20:09:00,11:00:00,Cancelled,27.47,Passenger,P9,D,269,384,Snow,19
TR1431,Amtrak,Los Angeles Union,San Francisco 4th,2023-07-16 01:23:00,2023-07-16 05:23:00,4:00:00,Cancelled,223.74,Intercity,P6,C,382,437,Fog,6
TR1432,Amtrak,Los Angeles Union,Chicago Union,2023-06-04 09:07:00,2023-06-04 12:07:00,3:00:00,On Time,319.65,High-Speed,P19,C,367,254,Clear,16
TR1433,Via Rail,Toronto Union,Calgary Station,2023-02-27 02:01:00,2023-02-27 03:01:00,1:00:00,Cancelled,19.19,Freight,P20,C,105,439,Storm,4
TR1434,Indian Railways,Bangalore City,Howrah,2023-10-11 08:58:00,2023-10-11 09:58:00,1:00:00,Cancelled,142.56,Freight,P10,B,451,495,Fog,9
TR1435,JR East,Nagoya Station,Hiroshima Station,2023-10-07 14:13:00,2023-10-07 18:13:00,4:00:00,Delayed,119.35,Passenger,P12,A,169,314,Rain,3
TR1436,Amtrak,Boston South,Chicago Union,2023-06-13 04:43:00,2023-06-13 13:43:00,9:00:00,Delayed,393.67,High-Speed,P12,A,311,291,Fog,6
TR1437,Amtrak,Los Angeles Union,San Francisco 4th,2023-12-12 21:41:00,2023-12-13 05:41:00,8:00:00,On Time,174.35,Metro,P12,D,244,393,Rain,11
TR1438,JR Central,Osaka Station,Hiroshima Station,2023-11-11 15:45:00,2023-11-11 23:45:00,8:00:00,Delayed,452.37,Intercity,P13,E,301,99,Snow,6
TR1439,Deutsche Bahn,Cologne Hbf,Hamburg Hbf,2023-01-30 16:48:00,2023-01-31 02:48:00,10:00:00,On Time,398.12,Metro,P17,A,489,548,Fog,16
TR1440,Via Rail,Ottawa Station,Toronto Union,2023-12-19 17:12:00,2023-12-20 04:12:00,11:00:00,Delayed,147.15,Metro,P2,E,210,132,Fog,11
TR1441,Via Rail,Vancouver Pacific,Ottawa Station,2023-04-09 13:52:00,2023-04-09 19:52:00,6:00:00,On Time,427.42,High-Speed,P16,C,238,61,Storm,9
TR1442,Deutsche Bahn,Munich Hbf,Berlin Hbf,2023-04-06 18:24:00,2023-04-07 05:24:00,11:00:00,Cancelled,254.79,Passenger,P20,E,337,537,Fog,11
TR1443,Indian Railways,Howrah,Mumbai CST,2023-10-02 22:04:00,2023-10-03 09:04:00,11:00:00,Cancelled,108.17,Intercity,P12,D,494,94,Rain,12
TR1444,Deutsche Bahn,Frankfurt Hbf,Munich Hbf,2023-11-21 16:48:00,2023-11-22 04:48:00,12:00:00,Delayed,307.66,Freight,P8,A,443,87,Clear,16
TR1445,JR East,Nagoya Station,Hiroshima Station,2023-09-08 01:34:00,2023-09-08 03:34:00,2:00:00,Cancelled,172.37,Metro,P12,B,378,207,Rain,20
TR1446,Via Rail,Ottawa Station,Vancouver Pacific,2023-07-21 13:35:00,2023-07-22 01:35:00,12:00:00,On Time,167.52,High-Speed,P13,E,387,458,Rain,16
TR1447,Via Rail,Calgary Station,Toronto Union,2023-05-30 07:11:00,2023-05-30 15:11:00,8:00:00,On Time,276.46,Metro,P18,C,343,485,Snow,9
TR1448,Via Rail,Calgary Station,Montreal Central,2023-11-18 22:12:00,2023-11-19 09:12:00,11:00:00,Cancelled,349.3,Intercity,P10,B,359,532,Storm,7
TR1449,Indian Railways,Delhi Junction,Howrah,2023-10-08 10:51:00,2023-10-08 16:51:00,6:00:00,Delayed,212.64,High-Speed,P20,C,128,399,Fog,9
TR1450,Amtrak,New York Penn,San Francisco 4th,2023-11-10 00:17:00,2023-11-10 03:17:00,3:00:00,Delayed,345.27,Metro,P17,C,222,188,Snow,2
TR1451,Indian Railways,Bangalore City,Chennai Central,2023-09-19 18:59:00,2023-09-19 19:59:00,1:00:00,Delayed,334.55,Passenger,P9,B,115,317,Rain,14
TR1452,JR Central,Osaka Station,Kyoto Station,2023-06-02 22:09:00,2023-06-03 01:09:00,3:00:00,On Time,259.23,Metro,P8,D,411,161,Snow,11
TR1453,JR Central,Nagoya Station,Kyoto Station,2023-01-31 11:28:00,2023-01-31 19:28:00,8:00:00,On Time,348.81,Passenger,P14,D,169,499,Clear,11
TR1454,Indian Railways,Howrah,Bangalore City,2023-05-22 10:37:00,2023-05-22 21:37:00,11:00:00,Delayed,244.35,Intercity,P7,A,343,76,Snow,5
TR1455,Via Rail,Calgary Station,Vancouver Pacific,2023-07-27 07:07:00,2023-07-27 09:07:00,2:00:00,Delayed,493.2,Metro,P5,D,136,138,Snow,2
TR1456,JR East,Tokyo Station,Kyoto Station,2023-04-02 14:13:00,2023-04-02 15:13:00,1:00:00,Delayed,60.9,High-Speed,P3,B,90,286,Fog,19
TR1457,Via Rail,Montreal Central,Vancouver Pacific,2023-11-10 20:18:00,2023-11-10 23:18:00,3:00:00,Delayed,48.52,Metro,P17,E,237,520,Snow,12
TR1458,JR Central,Nagoya Station,Kyoto Station,2023-03-27 09:18:00,2023-03-27 16:18:00,7:00:00,Delayed,102.92,Freight,P3,C,458,253,Snow,19
TR1459,Via Rail,Montreal Central,Ottawa Station,2023-12-16 15:18:00,2023-12-17 03:18:00,12:00:00,Cancelled,427.74,High-Speed,P12,B,340,517,Storm,18
TR1460,Amtrak,New York Penn,Los Angeles Union,2023-06-05 08:13:00,2023-06-05 09:13:00,1:00:00,Cancelled,253.9,High-Speed,P12,B,417,319,Storm,20
TR1461,Deutsche Bahn,Hamburg Hbf,Berlin Hbf,invalid_date,2023-08-14 03:48:00,5:00:00,On Time,203.09,Intercity,P20,D,224,69,Rain,6
TR1462,Deutsche Bahn,Cologne Hbf,Munich Hbf,2023-11-03 03:58:00,2023-11-03 05:58:00,2:00:00,Cancelled,210.43,Freight,P1,A,424,401,Rain,14
TR1463,JR Central,Osaka Station,Kyoto Station,2023-07-02 22:02:00,2023-07-03 10:02:00,12:00:00,Delayed,499.05,Metro,P16,E,81,252,Snow,2
TR1464,Amtrak,Boston South,Chicago Union,2023-03-10 02:04:00,2023-03-10 05:04:00,3:00:00,Delayed,427.3,High-Speed,P11,A,358,431,Fog,14
TR1465,Via Rail,Ottawa Station,Montreal Central,2023-03-20 18:28:00,2023-03-20 23:28:00,5:00:00,Cancelled,83.59,Passenger,P2,B,415,18,Clear,13
TR1466,Deutsche Bahn,Frankfurt Hbf,Munich Hbf,2023-04-17 10:46:00,2023-04-17 16:46:00,6:00:00,Delayed,32.57,Passenger,P13,E,321,447,Rain,4
TR1467,JR East,Osaka Station,Tokyo Station,2023-04-12 11:11:00,2023-04-12 16:11:00,5:00:00,On Time,230.63,Passenger,P12,E,215,155,Fog,9
TR1468,Via Rail,Calgary Station,Vancouver Pacific,2023-03-29 08:44:00,2023-03-29 18:44:00,10:00:00,Delayed,117.22,Metro,P5,E,112,156,Snow,19
TR1469,Amtrak,Boston South,Chicago Union,2023-10-03 21:04:00,2023-10-04 04:04:00,7:00:00,On Time,64.03,High-Speed,P14,E,67,121,Fog,10
TR1470,JR Central,Osaka Station,Hiroshima Station,2023-11-04 04:45:00,2023-11-04 12:45:00,8:00:00,Cancelled,394.88,Passenger,P17,C,474,146,Fog,6
TR1471,Deutsche Bahn,Cologne Hbf,Hamburg Hbf,2023-09-09 16:47:00,2023-09-09 22:47:00,6:00:00,Cancelled,277.7,Passenger,P8,E,424,71,Storm,17
TR1472,Indian Railways,Delhi Junction,Mumbai CST,2023-04-11 14:26:00,2023-04-11 21:26:00,7:00:00,On Time,161.62,Metro,P8,B,397,452,Snow,7
TR1473,Deutsche Bahn,Frankfurt Hbf,Munich Hbf,2023-03-06 10:52:00,2023-03-06 12:52:00,2:00:00,Cancelled,232.08,Metro,P9,E,256,504,Rain,15
TR1474,JR Central,Tokyo Station,Kyoto Station,2023-02-02 04:24:00,2023-02-02 11:24:00,7:00:00,Cancelled,447.2,Passenger,P9,A,309,328,Clear,9
TR1475,Amtrak,Los Angeles Union,Chicago Union,2023-10-26 11:42:00,2023-10-26 15:42:00,4:00:00,Delayed,337.43,Metro,P15,D,358,482,Snow,16
TR1476,Via Rail,Vancouver Pacific,Montreal Central,2023-09-03 05:04:00,2023-09-03 09:04:00,4:00:00,On Time,461.79,Intercity,P19,C,93,269,Fog,3
TR1477,Amtrak,San Francisco 4th,Chicago Union,2023-01-11 13:49:00,2023-01-11 15:49:00,2:00:00,On Time,319.85,Passenger,P9,C,343,17,Clear,18
TR1478,JR East,Nagoya Station,Kyoto Station,2023-09-24 16:57:00,2023-09-25 01:57:00,9:00:00,Cancelled,329.12,Freight,P5,C,408,418,Snow,2
TR1479,Via Rail,Vancouver Pacific,Montreal Central,2023-12-12 22:01:00,2023-12-13 09:01:00,11:00:00,On Time,452.98,High-Speed,P11,C,228,233,Rain,7
TR1480,Deutsche Bahn,Hamburg Hbf,,2023-07-06 11:47:00,,11:00:00,Cancelled,385.48,Freight,P16,D,74,79,Storm,18
TR1481,Indian Railways,Howrah,Mumbai CST,2023-09-13 05:48:00,2023-09-13 14:48:00,9:00:00,On Time,89.89,Passenger,P5,C,475,307,Storm,2
TR1482,Deutsche Bahn,Frankfurt Hbf,Hamburg Hbf,2023-05-08 05:04:00,2023-05-08 13:04:00,8:00:00,On Time,367.21,Passenger,P20,D,57,290,Snow,19
TR1483,Via Rail,Montreal Central,Toronto Union,2023-07-23 13:27:00,2023-07-23 16:27:00,3:00:00,Cancelled,472.78,Passenger,P3,E,426,98,Snow,14
TR1484,Deutsche Bahn,Frankfurt Hbf,Berlin Hbf,2023-02-04 02:14:00,2023-02-04 09:14:00,7:00:00,On Time,492.23,Passenger,P18,A,328,392,Snow,18
TR1485,Via Rail,Vancouver Pacific,Calgary Station,2023-12-19 02:44:00,2023-12-19 04:44:00,2:00:00,Delayed,147.7,High-Speed,P1,E,86,453,Storm,20
TR1486,Via Rail,Vancouver Pacific,Calgary Station,2023-11-07 22:19:00,2023-11-08 10:19:00,12:00:00,Cancelled,450.62,Intercity,P20,E,313,222,Rain,6
TR1487,Indian Railways,Chennai Central,Delhi Junction,2023-12-12 05:01:00,2023-12-12 06:01:00,1:00:00,Delayed,247.17,Freight,P18,A,221,107,Snow,13
TR1488,Amtrak,Los Angeles Union,San Francisco 4th,2023-05-27 21:14:00,2023-05-28 07:14:00,10:00:00,Cancelled,156.7,Intercity,P15,C,58,481,Snow,18
TR1489,JR Central,Kyoto Station,Osaka Station,2023-05-19 15:33:00,2023-05-19 22:33:00,7:00:00,Delayed,374.28,High-Speed,P2,A,50,158,Snow,8
TR1490,Deutsche Bahn,Berlin Hbf,Munich Hbf,2023-04-15 16:24:00,2023-04-16 04:24:00,12:00:00,Cancelled,128.02,High-Speed,P18,B,440,157,Rain,4
TR1491,Indian Railways,Bangalore City,Chennai Central,2023-10-10 00:27:00,2023-10-10 10:27:00,10:00:00,Cancelled,123.62,Metro,P10,D,64,37,Snow,8
TR1492,Amtrak,,San Francisco 4th,2023-02-23 17:56:00,2023-02-23 23:56:00,6:00:00,Cancelled,263.73,Metro,P12,C,103,188,Snow,18
TR1493,Amtrak,Chicago Union,New York Penn,2023-06-05 19:06:00,2023-06-06 03:06:00,8:00:00,Delayed,272.67,Passenger,P4,E,270,108,Snow,18
TR1494,Via Rail,Vancouver Pacific,Calgary Station,2023-10-05 01:12:00,2023-10-05 09:12:00,8:00:00,Cancelled,32.01,Freight,P8,E,377,66,Clear,19
