FlightNumber,Airline,Origin,Destination,DepartureTime,ArrivalTime,Duration,Status,Price,AircraftType,GateNumber,Terminal,SeatCapacity,PassengerCount,WeatherCondition,CrewCount
AS976,Southwest,DEN,SFO,2023-03-04 03:08:23,2023-03-04 08:33:23,0 days 05:25:00,Delayed,965.92,Embraer 190,C20,International,169.0,128.0,Clear,12.0
SP4501,JetBlue,ATL,BOS,2023-11-12 18:44:45,2023-11-12 20:00:45,0 days 01:16:00,Delayed,145.37,Boeing 777,A15,3,214.0,89.0,Clear,12.0
JB6719,Southwest,DEN,LAX,2023-07-02 14:56:02,2023-07-02 22:08:02,0 days 07:12:00,On Time,125.56,Airbus A380,B30,4,334.0,257.0,Thunderstorm,8.0
JB6958,Alaska Airlines,SFO,BOS,2023-04-01 12:40:46,2023-04-01 20:22:46,0 days 07:42:00,On Time,1378.77,Airbus A380,D3,2,278.0,59.0,Rain,5.0
DL3474,Southwest,LAX,ATL,2023-03-23 20:59:10,2023-03-23 23:48:10,0 days 02:49:00,Delayed,495.61,Airbus A380,B19,International,286.0,221.0,Clear,8.0
SP7049,JetBlue,DEN,DFW,2023-07-19 16:41:56,2023-07-19 23:54:56,0 days 07:13:00,Delayed,1440.63,Embraer 190,B25,1,267.0,259.0,Clear,5.0
UA2353,Spirit,JFK,BOS,2023-11-14 19:26:02,2023-11-15 03:14:02,0 days 07:48:00,On Time,423.86,Boeing 737,A30,International,310.0,236.0,Cloudy,8.0
AS3582,JetBlue,SFO,ORD,2023-02-03 06:43:13,2023-02-03 10:48:13,0 days 04:05:00,On Time,56.48,Bombardier CRJ900,A6,1,220.0,115.0,Thunderstorm,7.0
AS9220,United,MIA,BOS,2023-10-06 01:57:04,2023-10-06 09:43:04,0 days 07:46:00,Delayed,754.02,Airbus A380,B1,3,106.0,,Cloudy,11.0
SP329,Delta,BOS,SEA,2023-03-19 15:54:44,2023-03-19 17:39:44,0 days 01:45:00,On Time,478.19,Bombardier CRJ900,B24,International,337.0,140.0,Rain,13.0
DL4486,American Airlines,MIA,ATL,2023-10-21 17:53:40,2023-10-21 18:56:40,0 days 01:03:00,On Time,221.14,Bombardier CRJ900,C13,International,377.0,89.0,Cloudy,14.0
JB353,Southwest,LAX,MIA,2023-01-08 13:28:58,2023-01-08 15:31:58,0 days 02:03:00,Cancelled,499.75,Airbus A380,C5,3,318.0,55.0,Clear,8.0
DL5619,Alaska Airlines,DEN,MIA,2023-03-03 01:28:42,2023-03-03 04:25:42,0 days 02:57:00,Delayed,760.69,Embraer 190,C7,2,337.0,109.0,Cloudy,7.0
JB6874,,BOS,DEN,2023-10-17 22:35:25,2023-10-18 04:45:25,0 days 06:10:00,Delayed,1061.94,Boeing 737,A10,4,292.0,145.0,Fog,11.0
AA455,Alaska Airlines,DEN,ATL,2023-07-16 17:51:47,2023-07-16 18:42:47,0 days 00:51:00,On Time,1205.64,Airbus A380,B4,3,326.0,237.0,Snow,13.0
JB2690,JetBlue,LAX,JFK,2023-11-11 18:21:11,2023-11-12 02:41:11,0 days 08:20:00,Delayed,810.54,Airbus A320,A23,4,393.0,133.0,Clear,11.0
AA8362,American Airlines,ATL,MIA,2023-03-08 10:30:09,2023-03-08 15:29:09,0 days 04:59:00,On Time,565.22,Boeing 737,A28,1,242.0,231.0,Fog,11.0
SW6880,United,SEA,DFW,2023-04-05 23:11:56,2023-04-06 01:08:56,0 days 01:57:00,Delayed,1222.96,Bombardier CRJ900,D1,4,237.0,164.0,Snow,11.0
DL5669,Southwest,DEN,MIA,2023-08-25 04:19:52,2023-08-25 04:50:52,0 days 00:31:00,Delayed,645.14,Airbus A380,C24,International,158.0,138.0,Clear,11.0
JB9820,Alaska Airlines,LAX,BOS,2023-09-29 22:40:05,2023-09-30 01:38:05,0 days 02:58:00,Cancelled,1275.31,Airbus A320,C17,International,123.0,81.0,Cloudy,7.0
UA2435,Spirit,DFW,SEA,2023-02-26 01:20:29,2023-02-26 02:51:29,0 days 01:31:00,Delayed,554.85,Bombardier CRJ900,B26,4,275.0,253.0,Cloudy,14.0
AS3223,Spirit,DFW,SEA,2023-12-14 10:39:17,2023-12-14 14:34:17,0 days 03:55:00,Cancelled,643.89,Embraer 190,A22,International,306.0,66.0,Thunderstorm,11.0
AS4487,Spirit,ORD,JFK,2023-01-02 04:10:20,2023-01-02 04:57:20,0 days 00:47:00,On Time,758.6,Embraer 190,A8,3,266.0,209.0,Cloudy,6.0
UA7336,Alaska Airlines,LAX,ORD,2023-01-10 13:09:36,2023-01-10 20:14:36,0 days 07:05:00,On Time,1335.19,Bombardier CRJ900,C14,2,182.0,83.0,Rain,7.0
JB6673,American Airlines,ATL,LAX,,2023-11-25 17:01:15,0 days 08:42:00,Delayed,1284.09,Boeing 777,A22,3,363.0,346.0,Rain,9.0
SW3616,American Airlines,DEN,SEA,2023-10-24 15:18:03,2023-10-24 16:07:03,0 days 00:49:00,On Time,1444.92,Embraer 190,A20,4,252.0,122.0,Snow,7.0
AA3497,JetBlue,SEA,ORD,2023-06-13 10:03:59,2023-06-13 17:43:59,0 days 07:40:00,Delayed,1030.31,Airbus A320,B20,4,315.0,178.0,Rain,11.0
UA3592,Alaska Airlines,BOS,LAX,2023-03-01 21:53:10,2023-03-02 07:04:10,0 days 09:11:00,Delayed,52.11,Boeing 737,D7,1,262.0,155.0,Rain,11.0
AS9456,Delta,ATL,MIA,2023-09-25 09:47:03,2023-09-25 11:21:03,0 days 01:34:00,On Time,304.15,Boeing 777,A19,3,138.0,60.0,Snow,12.0
AS8284,Alaska Airlines,BOS,JFK,2023-07-29 22:00:59,2023-07-30 03:30:59,0 days 05:30:00,On Time,1298.04,Airbus A320,B23,2,399.0,212.0,Clear,5.0
DL8020,American Airlines,LAX,DEN,2023-06-10 08:04:46,2023-06-10 11:53:46,,Cancelled,1337.38,Boeing 777,D19,1,248.0,199.0,Snow,10.0
SW3138,Southwest,JFK,DFW,2023-11-16 14:50:16,2023-11-17 00:01:16,0 days 09:11:00,On Time,259.26,Bombardier CRJ900,D19,2,186.0,91.0,Snow,7.0
JB6504,United,LAX,SFO,2023-06-05 20:52:47,2023-06-06 04:25:47,0 days 07:33:00,Cancelled,1458.53,Airbus A380,C17,1,266.0,191.0,Fog,14.0
AA9068,Delta,LAX,DEN,2023-11-04 16:24:49,2023-11-05 01:36:49,0 days 09:12:00,Cancelled,479.61,Bombardier CRJ900,C10,International,126.0,119.0,Cloudy,6.0
AS5635,Southwest,SFO,ATL,2023-09-14 14:24:05,2023-09-14 19:24:05,0 days 05:00:00,Cancelled,953.56,Bombardier CRJ900,C2,4,204.0,153.0,Snow,14.0
AA9940,Spirit,LAX,SFO,2023-01-05 00:41:58,2023-01-05 05:41:58,0 days 05:00:00,Delayed,781.74,Bombardier CRJ900,C13,1,151.0,50.0,Cloudy,7.0
AS9662,Southwest,SEA,DEN,2023-09-15 18:07:21,2023-09-15 19:12:21,0 days 01:05:00,Delayed,483.92,Airbus A320,D11,2,366.0,199.0,Fog,7.0
JB5042,Southwest,ORD,DEN,2023-08-12 09:42:45,2023-08-12 11:01:45,0 days 01:19:00,On Time,1044.38,Airbus A380,A27,2,273.0,143.0,Thunderstorm,12.0
DL3932,Spirit,BOS,SFO,2023-12-29 09:59:00,2023-12-29 12:37:00,0 days 02:38:00,Cancelled,960.89,Airbus A320,B6,4,306.0,283.0,Cloudy,8.0
AA1628,Southwest,JFK,SFO,2023-05-01 01:33:03,2023-05-01 06:46:03,0 days 05:13:00,Delayed,742.42,Embraer 190,B21,2,321.0,263.0,Thunderstorm,14.0
SP6045,Southwest,LAX,BOS,2023-07-22 05:39:00,2023-07-22 15:04:00,0 days 09:25:00,Delayed,602.04,Embraer 190,A19,4,206.0,56.0,Thunderstorm,7.0
SW405,Delta,,MIA,2023-12-21 18:28:08,2023-12-22 00:50:08,0 days 06:22:00,Cancelled,224.73,Boeing 777,C14,1,278.0,71.0,Thunderstorm,6.0
UA455,American Airlines,MIA,ATL,2023-08-21 10:06:52,2023-08-21 18:08:52,,Cancelled,1095.13,Boeing 777,A2,1,326.0,111.0,Clear,13.0
AS7823,Alaska Airlines,DEN,DFW,2023-09-07 13:14:34,2023-09-07 15:27:34,0 days 02:13:00,Delayed,1186.23,Embraer 190,D10,4,379.0,319.0,Rain,11.0
SW1617,United,ORD,SEA,2023-05-30 21:01:51,2023-05-31 06:18:51,0 days 09:17:00,Delayed,279.02,Bombardier CRJ900,D30,2,281.0,69.0,Snow,5.0
UA4472,Spirit,JFK,BOS,2023-02-25 14:59:21,2023-02-25 21:05:21,0 days 06:06:00,On Time,228.12,Boeing 777,D26,2,384.0,382.0,Fog,15.0
AA2923,Southwest,BOS,ATL,2023-04-07 12:16:57,2023-04-07 15:29:57,0 days 03:13:00,Delayed,1402.73,Airbus A320,A13,4,184.0,55.0,Snow,15.0
JB4670,United,MIA,SEA,2023-05-20 04:48:36,2023-05-20 08:35:36,0 days 03:47:00,Delayed,460.82,Boeing 777,A29,4,156.0,146.0,Cloudy,10.0
UA1135,United,SFO,DFW,2023-10-05 10:35:57,2023-10-05 15:50:57,0 days 05:15:00,Delayed,770.8,Boeing 737,C13,4,219.0,136.0,Clear,14.0
JB8117,Spirit,LAX,MIA,2023-10-28 13:20:18,2023-10-28 20:46:18,0 days 07:26:00,Cancelled,931.2,Boeing 777,D7,International,280.0,98.0,Cloudy,13.0
AS4205,United,DFW,SEA,2023-05-21 03:38:00,2023-05-21 09:21:00,0 days 05:43:00,Cancelled,738.73,Airbus A320,A10,1,291.0,145.0,Cloudy,13.0
UA8624,Spirit,JFK,SEA,2023-11-11 09:31:58,2023-11-11 18:33:58,0 days 09:02:00,Delayed,334.76,Airbus A380,D27,4,123.0,103.0,Cloudy,9.0
SP2517,Spirit,JFK,SFO,2023-02-12 07:14:21,2023-02-12 16:17:21,0 days 09:03:00,On Time,,Boeing 737,C22,3,227.0,59.0,Clear,11.0
AS3200,JetBlue,MIA,BOS,2023-02-05 07:39:50,2023-02-05 12:58:50,0 days 05:19:00,Delayed,804.09,Airbus A380,C30,1,358.0,252.0,Rain,8.0
JB1561,American Airlines,JFK,SFO,2023-07-09 01:17:33,2023-07-09 04:22:33,0 days 03:05:00,Delayed,1116.1,Embraer 190,B13,1,109.0,107.0,Clear,5.0
SP4181,United,DEN,SFO,2023-11-18 09:15:15,2023-11-18 17:53:15,0 days 08:38:00,Cancelled,1131.16,Embraer 190,D4,3,352.0,290.0,Rain,10.0
JB9130,United,SEA,JFK,2023-04-28 00:23:33,2023-04-28 03:00:33,0 days 02:37:00,Delayed,137.83,Embraer 190,D8,4,219.0,162.0,Thunderstorm,14.0
JB3333,Delta,LAX,JFK,2023-02-11 03:13:37,2023-02-11 12:38:37,0 days 09:25:00,Delayed,478.59,Boeing 777,A1,3,106.0,97.0,Clear,10.0
DL1178,United,ATL,JFK,2023-07-02 08:20:58,2023-07-02 14:11:58,0 days 05:51:00,Cancelled,858.27,Airbus A380,D19,1,195.0,174.0,Clear,10.0
UA1973,Southwest,JFK,LAX,2023-04-24 20:52:21,2023-04-25 02:52:21,0 days 06:00:00,On Time,1122.07,Airbus A320,D14,,212.0,159.0,Thunderstorm,10.0
DL9979,Southwest,DEN,JFK,2023-08-25 09:48:41,2023-08-25 19:18:41,0 days 09:30:00,Cancelled,873.98,Airbus A320,A18,International,133.0,77.0,Clear,15.0
SP9033,Spirit,ATL,ORD,2023-10-29 00:00:04,2023-10-29 07:16:04,0 days 07:16:00,On Time,127.55,Embraer 190,B23,1,197.0,165.0,Cloudy,10.0
,United,JFK,LAX,2023-06-27 18:56:16,2023-06-28 02:36:16,0 days 07:40:00,Cancelled,512.69,Bombardier CRJ900,A20,International,193.0,98.0,Thunderstorm,9.0
AS3637,Spirit,ORD,BOS,2023-04-14 12:11:25,2023-04-14 20:44:25,0 days 08:33:00,Delayed,1011.67,Boeing 737,A20,International,114.0,70.0,Snow,8.0
SW827,Southwest,JFK,DFW,2023-06-23 03:06:04,2023-06-23 09:46:04,0 days 06:40:00,Cancelled,778.9,Bombardier CRJ900,D19,International,370.0,192.0,Rain,9.0
JB8487,United,JFK,BOS,2023-10-08 05:54:14,2023-10-08 09:04:14,0 days 03:10:00,Delayed,124.25,Bombardier CRJ900,A29,4,132.0,108.0,Cloudy,14.0
DL8065,American Airlines,ATL,LAX,2023-02-06 16:42:30,2023-02-06 19:07:30,0 days 02:25:00,Delayed,1407.69,Boeing 737,D1,International,331.0,273.0,Clear,14.0
SW8388,Alaska Airlines,BOS,ATL,2023-01-13 09:45:53,2023-01-13 17:18:53,0 days 07:33:00,On Time,972.9,Airbus A380,C25,2,371.0,197.0,Cloudy,7.0
JB4352,American Airlines,SEA,JFK,2023-09-19 07:44:38,2023-09-19 17:10:38,0 days 09:26:00,Delayed,155.56,Airbus A320,C19,2,317.0,149.0,Snow,14.0
SP9906,Delta,BOS,DEN,2023-11-10 09:14:07,2023-11-10 10:02:07,0 days 00:48:00,Cancelled,1165.99,Boeing 737,C23,2,328.0,163.0,Thunderstorm,15.0
DL1384,American Airlines,JFK,SFO,2023-12-01 06:30:00,2023-12-01 09:56:00,0 days 03:26:00,Cancelled,633.63,Airbus A320,A27,4,325.0,192.0,Thunderstorm,8.0
AS689,Spirit,SEA,JFK,2023-07-20 02:45:01,2023-07-20 05:41:01,0 days 02:56:00,Cancelled,354.35,Bombardier CRJ900,C11,4,272.0,100.0,Thunderstorm,13.0
JB4751,United,SEA,MIA,2023-01-31 03:41:04,2023-01-31 06:34:04,0 days 02:53:00,Delayed,1233.61,Airbus A380,B27,4,160.0,101.0,Snow,11.0
SW4863,Delta,BOS,ATL,2023-10-08 00:37:23,2023-10-08 08:02:23,0 days 07:25:00,On Time,223.1,Airbus A380,B18,3,380.0,322.0,Clear,8.0
AA175,JetBlue,BOS,SEA,2023-08-02 22:14:25,2023-08-03 00:09:25,0 days 01:55:00,Cancelled,587.71,Boeing 777,B1,3,266.0,159.0,Clear,10.0
JB6570,Southwest,SFO,MIA,2023-12-07 09:20:13,2023-12-07 13:43:13,0 days 04:23:00,Delayed,352.93,Boeing 777,A5,4,268.0,168.0,Thunderstorm,7.0
UA704,Southwest,SFO,LAX,2023-07-18 06:13:40,2023-07-18 08:33:40,0 days 02:20:00,Delayed,451.23,Airbus A380,B28,1,395.0,104.0,Thunderstorm,7.0
JB771,United,MIA,BOS,2023-09-18 02:44:37,2023-09-18 05:00:37,0 days 02:16:00,Delayed,735.5,Airbus A320,D30,4,120.0,78.0,Cloudy,5.0
JB5539,United,BOS,SEA,2023-06-16 08:59:15,2023-06-16 13:26:15,0 days 04:27:00,On Time,403.92,Airbus A380,D23,3,304.0,163.0,Rain,13.0
DL4443,Southwest,SFO,JFK,2023-02-04 13:51:43,2023-02-04 22:59:43,0 days 09:08:00,Cancelled,1062.28,Boeing 737,C6,4,277.0,255.0,Fog,13.0
UA8700,Alaska Airlines,MIA,ATL,2023-08-04 16:19:27,2023-08-05 01:20:27,0 days 09:01:00,Cancelled,904.1,Boeing 777,A10,3,298.0,230.0,Thunderstorm,12.0
AA4823,Delta,ORD,SFO,2023-10-09 21:35:58,2023-10-10 03:46:58,0 days 06:11:00,On Time,749.4,Embraer 190,A26,4,266.0,53.0,Snow,11.0
JB912,American Airlines,DEN,BOS,2023-07-14 16:57:45,2023-07-15 02:45:45,0 days 09:48:00,Delayed,257.91,Airbus A380,C29,2,185.0,128.0,Clear,11.0
AS8961,Delta,ORD,LAX,2023-05-01 05:04:50,2023-05-01 09:28:50,0 days 04:24:00,On Time,122.22,Boeing 737,B29,International,174.0,,Clear,11.0
UA7351,Alaska Airlines,SFO,JFK,2023-05-29 12:14:42,2023-05-29 14:50:42,0 days 02:36:00,Cancelled,466.39,Bombardier CRJ900,C1,3,244.0,96.0,Clear,7.0
JB1564,Southwest,SFO,JFK,2023-01-26 23:29:17,2023-01-27 03:40:17,0 days 04:11:00,On Time,1049.81,Embraer 190,B17,4,364.0,134.0,Snow,15.0
UA9182,Alaska Airlines,JFK,DEN,2023-09-29 08:50:03,2023-09-29 16:39:03,0 days 07:49:00,Delayed,909.41,Airbus A320,D21,2,269.0,203.0,Thunderstorm,9.0
DL7680,Spirit,MIA,DFW,2023-04-20 21:37:42,2023-04-21 04:11:42,0 days 06:34:00,On Time,85.06,Boeing 737,B15,3,360.0,206.0,Rain,7.0
AS2453,American Airlines,JFK,BOS,2023-10-08 00:58:50,2023-10-08 01:43:50,0 days 00:45:00,Cancelled,1115.63,Airbus A380,B18,International,234.0,178.0,Cloudy,15.0
AA4184,Delta,JFK,BOS,2023-01-17 08:07:56,2023-01-17 11:46:56,0 days 03:39:00,On Time,578.55,Boeing 737,D24,3,206.0,112.0,Thunderstorm,14.0
AS1065,Alaska Airlines,MIA,DEN,2023-08-18 01:48:05,2023-08-18 05:56:05,0 days 04:08:00,Cancelled,826.85,Airbus A380,C12,4,208.0,94.0,Fog,8.0
SP1224,Southwest,MIA,DEN,2023-06-17 21:11:53,2023-06-18 05:02:53,0 days 07:51:00,Delayed,1017.63,Boeing 737,B18,1,134.0,128.0,Snow,6.0
SW7328,Southwest,ORD,BOS,2023-09-30 16:49:19,2023-09-30 21:51:19,0 days 05:02:00,Cancelled,1360.99,Bombardier CRJ900,C18,2,339.0,224.0,Rain,10.0
UA8844,Delta,SFO,LAX,2023-01-04 22:51:17,2023-01-05 04:32:17,0 days 05:41:00,On Time,1131.48,Airbus A380,D7,4,221.0,119.0,Rain,7.0
JB2593,American Airlines,BOS,MIA,2023-01-11 00:29:47,2023-01-11 05:04:47,0 days 04:35:00,Delayed,888.45,Bombardier CRJ900,D24,3,153.0,94.0,Fog,7.0
JB8869,Alaska Airlines,DFW,BOS,2023-08-18 07:23:55,2023-08-18 17:01:55,0 days 09:38:00,On Time,261.74,Bombardier CRJ900,A22,International,197.0,179.0,Rain,7.0
AS6308,Southwest,ATL,SEA,2023-12-27 17:06:46,2023-12-27 23:34:46,0 days 06:28:00,Cancelled,1298.72,Airbus A320,C27,4,369.0,117.0,Thunderstorm,9.0
UA2795,Alaska Airlines,MIA,SEA,2023-12-28 16:33:29,2023-12-28 22:51:29,0 days 06:18:00,Cancelled,1410.23,Airbus A320,C20,3,271.0,193.0,Rain,8.0
JB2317,JetBlue,JFK,DFW,2023-06-29 23:45:09,2023-06-30 08:09:09,0 days 08:24:00,Cancelled,234.59,Airbus A320,C2,International,144.0,94.0,Thunderstorm,6.0
SP8894,Southwest,DEN,DFW,2023-04-12 17:06:43,2023-04-13 00:34:43,0 days 07:28:00,Delayed,331.07,Bombardier CRJ900,B20,3,272.0,70.0,Thunderstorm,13.0
AS6844,United,DEN,BOS,2023-10-03 22:31:47,2023-10-04 03:18:47,0 days 04:47:00,Delayed,882.51,Bombardier CRJ900,B10,4,183.0,112.0,Rain,6.0
AA7820,Delta,DFW,MIA,2023-03-20 06:28:18,2023-03-20 09:56:18,0 days 03:28:00,Delayed,802.95,Airbus A320,B12,2,264.0,145.0,Snow,12.0
JB7166,United,ORD,ATL,2023-03-28 23:28:51,2023-03-29 04:10:51,0 days 04:42:00,On Time,468.31,Embraer 190,D6,1,267.0,108.0,Cloudy,9.0
UA2665,JetBlue,DEN,BOS,2023-03-13 21:28:33,2023-03-14 06:08:33,0 days 08:40:00,On Time,1109.42,Embraer 190,,1,207.0,139.0,Rain,7.0
DL3569,Delta,DEN,SFO,2023-07-01 18:16:08,2023-07-01 23:50:08,0 days 05:34:00,On Time,1250.09,Boeing 777,C28,International,299.0,275.0,Thunderstorm,8.0
AA2116,Spirit,MIA,JFK,2023-08-28 09:38:52,2023-08-28 10:58:52,0 days 01:20:00,Delayed,1138.69,Boeing 737,B24,4,218.0,139.0,Rain,7.0
SW9642,United,LAX,DEN,2023-05-09 06:58:58,2023-05-09 07:56:58,0 days 00:58:00,Cancelled,,Boeing 777,B2,1,268.0,109.0,Cloudy,10.0
JB1317,Delta,LAX,ORD,2023-06-20 08:46:37,2023-06-20 16:47:37,0 days 08:01:00,Cancelled,1110.44,Bombardier CRJ900,A15,International,379.0,261.0,Snow,5.0
SW1449,Southwest,ATL,SEA,2023-01-15 16:23:36,2023-01-15 19:07:36,0 days 02:44:00,Delayed,1402.21,Airbus A380,D23,2,199.0,104.0,Clear,5.0
DL9050,United,BOS,MIA,2023-10-27 15:46:06,2023-10-27 19:41:06,0 days 03:55:00,Delayed,469.34,Bombardier CRJ900,A20,4,286.0,242.0,Fog,5.0
JB8945,Southwest,BOS,ORD,2023-07-30 15:50:39,2023-07-30 19:27:39,0 days 03:37:00,Delayed,137.13,Boeing 737,B28,2,308.0,179.0,Snow,10.0
SP1720,Spirit,SFO,LAX,2023-08-30 08:55:58,2023-08-30 10:28:58,0 days 01:33:00,On Time,649.21,Boeing 737,C11,2,314.0,249.0,Clear,8.0
SP8789,American Airlines,SFO,ATL,2023-12-11 11:06:30,2023-12-11 14:57:30,0 days 03:51:00,Cancelled,648.64,Embraer 190,D29,1,123.0,110.0,Rain,5.0
DL2259,Alaska Airlines,ATL,SEA,2023-01-19 10:11:42,2023-01-19 17:40:42,0 days 07:29:00,Delayed,515.07,Airbus A320,B15,1,189.0,122.0,Clear,14.0
AA9059,JetBlue,DEN,MIA,2023-08-18 19:05:46,2023-08-19 02:35:46,0 days 07:30:00,On Time,174.62,Boeing 777,A26,3,209.0,137.0,Thunderstorm,14.0
DL7300,Spirit,JFK,SEA,2023-04-05 12:45:24,2023-04-05 14:23:24,0 days 01:38:00,Cancelled,1124.46,Airbus A320,D18,3,194.0,108.0,Fog,12.0
AS9811,JetBlue,LAX,ATL,2023-05-11 13:24:30,2023-05-11 14:50:30,0 days 01:26:00,Cancelled,626.6,Bombardier CRJ900,D22,International,328.0,181.0,Snow,11.0
AA5821,United,JFK,SFO,2023-08-07 16:10:42,2023-08-07 19:38:42,0 days 03:28:00,Delayed,357.12,Airbus A380,A26,4,302.0,215.0,Snow,10.0
SW7684,American Airlines,SEA,ORD,2023-12-19 20:07:25,2023-12-19 22:07:25,0 days 02:00:00,On Time,530.4,Boeing 737,C19,2,278.0,262.0,Fog,14.0
AS3928,Spirit,DEN,MIA,2023-06-25 12:50:10,2023-06-25 21:13:10,0 days 08:23:00,On Time,704.38,Airbus A320,B7,2,388.0,,Snow,15.0
JB2294,Alaska Airlines,ATL,BOS,2023-06-19 18:47:10,2023-06-19 22:50:10,0 days 04:03:00,Delayed,1099.54,Boeing 777,C18,2,211.0,,Clear,6.0
SW5049,JetBlue,MIA,SEA,2023-12-14 11:26:12,2023-12-14 19:03:12,0 days 07:37:00,Cancelled,611.89,Boeing 737,B27,International,334.0,134.0,Rain,10.0
DL418,American Airlines,BOS,JFK,2023-08-11 02:35:12,2023-08-11 11:42:12,0 days 09:07:00,Cancelled,1175.61,Airbus A320,D3,3,341.0,176.0,Rain,12.0
AS2871,American Airlines,BOS,LAX,2023-01-05 19:34:08,2023-01-06 01:49:08,0 days 06:15:00,On Time,959.1,Boeing 777,C15,International,111.0,106.0,Rain,9.0
SP5263,Alaska Airlines,ORD,MIA,2023-11-30 03:43:08,2023-11-30 05:30:08,0 days 01:47:00,Cancelled,1327.16,,C26,3,286.0,77.0,Clear,14.0
AA7408,Spirit,DFW,MIA,2023-02-13 01:40:38,2023-02-13 10:30:38,0 days 08:50:00,On Time,1139.36,Airbus A320,A28,,141.0,122.0,Fog,7.0
AS3599,Delta,ATL,LAX,2023-02-16 14:07:45,2023-02-16 18:52:45,0 days 04:45:00,Delayed,695.23,Airbus A380,D29,2,344.0,127.0,Clear,8.0
DL7968,Spirit,ORD,ATL,2023-09-22 19:54:57,2023-09-23 02:51:57,0 days 06:57:00,On Time,450.95,Boeing 737,C27,2,180.0,66.0,Fog,5.0
,Spirit,ORD,LAX,2023-01-19 04:35:05,2023-01-19 08:48:05,0 days 04:13:00,Cancelled,236.12,Embraer 190,C13,1,210.0,59.0,Clear,15.0
DL4817,American Airlines,ORD,BOS,2023-11-29 18:41:19,2023-11-30 03:59:19,0 days 09:18:00,Delayed,271.24,Embraer 190,A28,International,181.0,53.0,Snow,13.0
JB356,United,JFK,SEA,2023-06-04 01:40:03,2023-06-04 04:17:03,0 days 02:37:00,Delayed,1466.63,Boeing 737,A14,2,111.0,65.0,Snow,10.0
AA7492,Delta,DFW,ATL,2023-11-21 02:24:06,2023-11-21 12:10:06,0 days 09:46:00,On Time,837.96,Airbus A380,C18,International,119.0,103.0,Cloudy,6.0
UA3108,Southwest,SFO,LAX,,2023-04-15 23:43:09,0 days 02:04:00,On Time,68.72,Embraer 190,A28,1,261.0,168.0,Fog,14.0
DL8262,Alaska Airlines,ATL,ORD,2023-01-14 19:33:27,2023-01-14 22:48:27,0 days 03:15:00,Cancelled,1264.24,Embraer 190,A28,1,314.0,279.0,Thunderstorm,8.0
DL3208,United,BOS,ORD,2023-12-29 22:54:31,2023-12-30 02:36:31,0 days 03:42:00,On Time,1144.21,Bombardier CRJ900,D2,3,217.0,66.0,Thunderstorm,8.0
DL3256,Southwest,ORD,MIA,2023-01-23 08:00:03,2023-01-23 15:19:03,0 days 07:19:00,Delayed,507.72,Embraer 190,D6,2,139.0,66.0,Fog,8.0
AA4646,JetBlue,DFW,MIA,2023-07-09 12:03:14,2023-07-09 16:53:14,0 days 04:50:00,Cancelled,298.12,Airbus A320,D29,1,366.0,51.0,Cloudy,15.0
AS568,Spirit,SFO,DEN,2023-02-13 11:40:35,2023-02-13 18:06:35,0 days 06:26:00,Cancelled,379.39,Boeing 737,D9,International,366.0,164.0,Clear,7.0
AA2246,Delta,ORD,DEN,2023-02-15 09:49:04,2023-02-15 12:17:04,0 days 02:28:00,Delayed,654.67,Boeing 737,D29,1,220.0,122.0,Fog,5.0
DL4183,Alaska Airlines,JFK,SEA,2023-12-11 09:20:04,2023-12-11 18:07:04,0 days 08:47:00,Cancelled,481.66,Boeing 737,B23,4,214.0,184.0,Clear,6.0
UA174,American Airlines,SEA,DFW,2023-12-15 18:55:20,2023-12-16 00:25:20,0 days 05:30:00,Cancelled,636.49,Airbus A380,C24,2,285.0,245.0,Fog,12.0
DL7184,JetBlue,JFK,LAX,2023-10-15 22:11:56,2023-10-16 06:41:56,0 days 08:30:00,Delayed,508.48,Boeing 737,D10,International,130.0,114.0,Snow,10.0
SW7978,Delta,DEN,BOS,2023-10-17 20:06:58,2023-10-18 03:30:58,0 days 07:24:00,Delayed,888.89,Boeing 777,D21,International,252.0,175.0,Thunderstorm,9.0
SP4331,American Airlines,MIA,ORD,2023-05-06 23:38:44,2023-05-07 01:45:44,0 days 02:07:00,Cancelled,445.7,Airbus A320,A2,1,122.0,82.0,Thunderstorm,14.0
SW2108,United,ATL,SFO,2023-07-07 02:32:53,2023-07-07 07:38:53,0 days 05:06:00,Cancelled,526.49,Embraer 190,D19,1,355.0,276.0,Snow,13.0
UA2614,Delta,ATL,SEA,2023-11-06 05:16:57,2023-11-06 05:46:57,0 days 00:30:00,Cancelled,667.73,Bombardier CRJ900,C28,1,326.0,206.0,Thunderstorm,13.0
SP5027,Southwest,SEA,LAX,2023-04-25 13:06:29,2023-04-25 17:57:29,0 days 04:51:00,Cancelled,248.46,Airbus A320,C12,2,341.0,142.0,Rain,11.0
UA3526,Alaska Airlines,JFK,DEN,2023-06-03 06:50:10,2023-06-03 15:47:10,0 days 08:57:00,Delayed,1220.73,Boeing 737,B6,1,253.0,180.0,Clear,14.0
JB7811,Spirit,ATL,DFW,2023-05-22 01:23:11,2023-05-22 08:07:11,0 days 06:44:00,Delayed,640.66,Embraer 190,C25,International,324.0,132.0,Snow,11.0
SW4875,JetBlue,BOS,LAX,2023-10-29 14:40:49,2023-10-29 16:38:49,0 days 01:58:00,,1122.84,Airbus A320,A29,4,247.0,219.0,Fog,6.0
